INSERT INTO LGINVOICE VALUES (960, '30-APR-11', 458, 29.18, 83792);
INSERT INTO LGINVOICE VALUES (1550, '01-JUL-11', 678, 142.45, 84021);
INSERT INTO LGINVOICE VALUES (1553, '02-JUL-11', 679, 116.45, 83878);
INSERT INTO LGINVOICE VALUES (1555, '02-JUL-11', 590, 338.65, 83906);
INSERT INTO LGINVOICE VALUES (1556, '02-JUL-11', 621, 129.96, 83734);
INSERT INTO LGINVOICE VALUES (1558, '02-JUL-11', 677, 355.2, 83705);
INSERT INTO LGINVOICE VALUES (1559, '02-JUL-11', 680, 117.42, 83565);
INSERT INTO LGINVOICE VALUES (1562, '03-JUL-11', 681, 40.04, 83792);
INSERT INTO LGINVOICE VALUES (1564, '03-JUL-11', 486, 306.16, 84219);
INSERT INTO LGINVOICE VALUES (1565, '03-JUL-11', 649, 89.94, 83850);
INSERT INTO LGINVOICE VALUES (1566, '03-JUL-11', 130, 279.47, 84420);
INSERT INTO LGINVOICE VALUES (1568, '03-JUL-11', 683, 123.71, 84134);
INSERT INTO LGINVOICE VALUES (1570, '04-JUL-11', 511, 116.92, 83649);
INSERT INTO LGINVOICE VALUES (1571, '04-JUL-11', 409, 102.36, 83734);
INSERT INTO LGINVOICE VALUES (1573, '04-JUL-11', 308, 222.24, 84106);
INSERT INTO LGINVOICE VALUES (1574, '04-JUL-11', 684, 298.07, 83649);
INSERT INTO LGINVOICE VALUES (1575, '04-JUL-11', 574, 280.87, 84248);
INSERT INTO LGINVOICE VALUES (1576, '04-JUL-11', 685, 230.39, 83537);
INSERT INTO LGINVOICE VALUES (1577, '04-JUL-11', 686, 308.85, 84163);
INSERT INTO LGINVOICE VALUES (1579, '05-JUL-11', 687, 35.97, 83993);
INSERT INTO LGINVOICE VALUES (1580, '05-JUL-11', 192, 394.52, 83763);
INSERT INTO LGINVOICE VALUES (1581, '05-JUL-11', 136, 349.43, 83621);
INSERT INTO LGINVOICE VALUES (1582, '05-JUL-11', 620, 207.97, 83509);
INSERT INTO LGINVOICE VALUES (1583, '05-JUL-11', 485, 91.91, 83677);
INSERT INTO LGINVOICE VALUES (1585, '05-JUL-11', 688, 124.3, 83763);
INSERT INTO LGINVOICE VALUES (1586, '05-JUL-11', 127, 316.83, 84248);
INSERT INTO LGINVOICE VALUES (1587, '05-JUL-11', 291, 105.59, 83993);
INSERT INTO LGINVOICE VALUES (1588, '06-JUL-11', 202, 190.04, 83820);
INSERT INTO LGINVOICE VALUES (1589, '06-JUL-11', 241, 414.48, 84364);
INSERT INTO LGINVOICE VALUES (1591, '06-JUL-11', 486, 109.95, 84049);
INSERT INTO LGINVOICE VALUES (1592, '06-JUL-11', 690, 53.97, 83649);
INSERT INTO LGINVOICE VALUES (1593, '06-JUL-11', 691, 67.95, 83593);
INSERT INTO LGINVOICE VALUES (1594, '06-JUL-11', 692, 307.45, 84276);
INSERT INTO LGINVOICE VALUES (1596, '06-JUL-11', 694, 517.17, 83820);
INSERT INTO LGINVOICE VALUES (1597, '06-JUL-11', 497, 320.42, 83878);
INSERT INTO LGINVOICE VALUES (1598, '07-JUL-11', 695, 129.92, 83621);
INSERT INTO LGINVOICE VALUES (1599, '07-JUL-11', 696, 37.98, 83820);
INSERT INTO LGINVOICE VALUES (1600, '07-JUL-11', 697, 29.99, 84420);
INSERT INTO LGINVOICE VALUES (1602, '07-JUL-11', 698, 143.96, 84021);
INSERT INTO LGINVOICE VALUES (1603, '07-JUL-11', 414, 274.89, 83964);
INSERT INTO LGINVOICE VALUES (1604, '07-JUL-11', 699, 29.99, 83593);
INSERT INTO LGINVOICE VALUES (1605, '07-JUL-11', 700, 75.95, 84134);
INSERT INTO LGINVOICE VALUES (1606, '07-JUL-11', 309, 284.54, 84021);
INSERT INTO LGINVOICE VALUES (1608, '08-JUL-11', 273, 273.26, 83621);
INSERT INTO LGINVOICE VALUES (1609, '08-JUL-11', 701, 189.3, 83509);
INSERT INTO LGINVOICE VALUES (1610, '08-JUL-11', 702, 277.66, 84392);
INSERT INTO LGINVOICE VALUES (1611, '08-JUL-11', 665, 322.74, 83993);
INSERT INTO LGINVOICE VALUES (1612, '08-JUL-11', 703, 44.55, 83792);
INSERT INTO LGINVOICE VALUES (1614, '08-JUL-11', 704, 65.86, 83734);
INSERT INTO LGINVOICE VALUES (1615, '08-JUL-11', 99, 346.63, 84276);
INSERT INTO LGINVOICE VALUES (1616, '08-JUL-11', 87, 93.94, 83565);
INSERT INTO LGINVOICE VALUES (1617, '08-JUL-11', 705, 322.14, 83621);
INSERT INTO LGINVOICE VALUES (1618, '09-JUL-11', 706, 13.99, 83878);
INSERT INTO LGINVOICE VALUES (1620, '09-JUL-11', 232, 280.93, 83792);
INSERT INTO LGINVOICE VALUES (1621, '09-JUL-11', 542, 217.06, 83649);
INSERT INTO LGINVOICE VALUES (1622, '09-JUL-11', 707, 15.58, 84420);
INSERT INTO LGINVOICE VALUES (1623, '09-JUL-11', 159, 401.18, 84276);
INSERT INTO LGINVOICE VALUES (1624, '09-JUL-11', 708, 156.71, 84163);
INSERT INTO LGINVOICE VALUES (1626, '09-JUL-11', 362, 329.31, 84191);
INSERT INTO LGINVOICE VALUES (1627, '09-JUL-11', 424, 498.1, 83677);
INSERT INTO LGINVOICE VALUES (1628, '10-JUL-11', 456, 34.49, 83537);
INSERT INTO LGINVOICE VALUES (1629, '10-JUL-11', 710, 247.42, 83734);
INSERT INTO LGINVOICE VALUES (1630, '10-JUL-11', 319, 231.88, 83649);
INSERT INTO LGINVOICE VALUES (1632, '10-JUL-11', 712, 240.89, 83621);
INSERT INTO LGINVOICE VALUES (1633, '10-JUL-11', 454, 73.17, 83878);
INSERT INTO LGINVOICE VALUES (1634, '10-JUL-11', 713, 34.77, 83537);
INSERT INTO LGINVOICE VALUES (1635, '10-JUL-11', 714, 229.97, 83850);
INSERT INTO LGINVOICE VALUES (1637, '10-JUL-11', 715, 429.82, 84049);
INSERT INTO LGINVOICE VALUES (1638, '11-JUL-11', 198, 32.97, 83565);
INSERT INTO LGINVOICE VALUES (1639, '11-JUL-11', 519, 209.35, 84219);
INSERT INTO LGINVOICE VALUES (1640, '11-JUL-11', 90, 35.17, 83763);
INSERT INTO LGINVOICE VALUES (1641, '11-JUL-11', 716, 344.36, 84219);
INSERT INTO LGINVOICE VALUES (1643, '11-JUL-11', 717, 164.95, 84106);
INSERT INTO LGINVOICE VALUES (1644, '11-JUL-11', 197, 342.64, 83677);
INSERT INTO LGINVOICE VALUES (1645, '11-JUL-11', 283, 86.93, 83878);
INSERT INTO LGINVOICE VALUES (1646, '11-JUL-11', 709, 426.71, 83906);
INSERT INTO LGINVOICE VALUES (1647, '11-JUL-11', 575, 194.66, 83705);
INSERT INTO LGINVOICE VALUES (1649, '12-JUL-11', 662, 29.97, 83734);
INSERT INTO LGINVOICE VALUES (1650, '12-JUL-11', 327, 238.88, 84078);
INSERT INTO LGINVOICE VALUES (1651, '12-JUL-11', 719, 356.89, 84106);
INSERT INTO LGINVOICE VALUES (1652, '12-JUL-11', 229, 305.09, 84021);
INSERT INTO LGINVOICE VALUES (1653, '12-JUL-11', 579, 236.48, 83621);
INSERT INTO LGINVOICE VALUES (1655, '12-JUL-11', 705, 177.45, 84163);
INSERT INTO LGINVOICE VALUES (1656, '12-JUL-11', 639, 119.92, 83878);
INSERT INTO LGINVOICE VALUES (1658, '13-JUL-11', 721, 143.94, 84134);
INSERT INTO LGINVOICE VALUES (1659, '13-JUL-11', 689, 179.52, 83649);
INSERT INTO LGINVOICE VALUES (1661, '13-JUL-11', 170, 392.87, 84163);
INSERT INTO LGINVOICE VALUES (1664, '13-JUL-11', 722, 207.91, 83878);
INSERT INTO LGINVOICE VALUES (1665, '13-JUL-11', 707, 174.15, 84420);
INSERT INTO LGINVOICE VALUES (1667, '13-JUL-11', 351, 175.28, 83621);
INSERT INTO LGINVOICE VALUES (1668, '13-JUL-11', 541, 69.55, 84248);
INSERT INTO LGINVOICE VALUES (1670, '14-JUL-11', 724, 39.96, 84078);
INSERT INTO LGINVOICE VALUES (1673, '14-JUL-11', 703, 264.76, 83936);
INSERT INTO LGINVOICE VALUES (1674, '14-JUL-11', 453, 67.77, 84219);
INSERT INTO LGINVOICE VALUES (1675, '14-JUL-11', 726, 258.44, 83964);
INSERT INTO LGINVOICE VALUES (1677, '14-JUL-11', 727, 43.68, 83906);
INSERT INTO LGINVOICE VALUES (1678, '14-JUL-11', 419, 179.94, 83565);
INSERT INTO LGINVOICE VALUES (1681, '15-JUL-11', 729, 266.81, 83850);
INSERT INTO LGINVOICE VALUES (1683, '15-JUL-11', 462, 410.82, 84049);
INSERT INTO LGINVOICE VALUES (1684, '15-JUL-11', 493, 10.99, 83850);
INSERT INTO LGINVOICE VALUES (1686, '15-JUL-11', 731, 283.87, 84191);
INSERT INTO LGINVOICE VALUES (1687, '15-JUL-11', 152, 105.4, 83993);
INSERT INTO LGINVOICE VALUES (1690, '15-JUL-11', 734, 306.4, 83993);
INSERT INTO LGINVOICE VALUES (1692, '16-JUL-11', 736, 209.95, 83763);
INSERT INTO LGINVOICE VALUES (1693, '16-JUL-11', 636, 332.99, 84364);
INSERT INTO LGINVOICE VALUES (1695, '16-JUL-11', 738, 84.96, 84163);
INSERT INTO LGINVOICE VALUES (1696, '16-JUL-11', 739, 14.59, 84219);
INSERT INTO LGINVOICE VALUES (1699, '16-JUL-11', 740, 80.94, 84420);
INSERT INTO LGINVOICE VALUES (1700, '17-JUL-11', 301, 316.34, 84134);
INSERT INTO LGINVOICE VALUES (1702, '17-JUL-11', 367, 312.33, 84021);
INSERT INTO LGINVOICE VALUES (1703, '17-JUL-11', 742, 385.89, 83621);
INSERT INTO LGINVOICE VALUES (1705, '17-JUL-11', 744, 288.96, 83878);
INSERT INTO LGINVOICE VALUES (1708, '17-JUL-11', 400, 141.3, 84021);
INSERT INTO LGINVOICE VALUES (1709, '17-JUL-11', 746, 122.94, 83705);
INSERT INTO LGINVOICE VALUES (1711, '18-JUL-11', 747, 160.66, 84078);
INSERT INTO LGINVOICE VALUES (1712, '18-JUL-11', 748, 342.35, 84134);
INSERT INTO LGINVOICE VALUES (1714, '18-JUL-11', 749, 298.84, 84191);
INSERT INTO LGINVOICE VALUES (1717, '18-JUL-11', 750, 74.25, 84078);
INSERT INTO LGINVOICE VALUES (1718, '18-JUL-11', 751, 421.79, 84219);
INSERT INTO LGINVOICE VALUES (1720, '18-JUL-11', 752, 488.8, 84134);
INSERT INTO LGINVOICE VALUES (1721, '19-JUL-11', 753, 179.6, 83936);
INSERT INTO LGINVOICE VALUES (1723, '19-JUL-11', 218, 61.15, 83621);
INSERT INTO LGINVOICE VALUES (1726, '19-JUL-11', 606, 26.97, 83565);
INSERT INTO LGINVOICE VALUES (1727, '19-JUL-11', 349, 153.89, 84134);
INSERT INTO LGINVOICE VALUES (1728, '19-JUL-11', 456, 279.46, 83964);
INSERT INTO LGINVOICE VALUES (1730, '20-JUL-11', 433, 358.07, 83964);
INSERT INTO LGINVOICE VALUES (1733, '20-JUL-11', 423, 191.09, 84078);
INSERT INTO LGINVOICE VALUES (1734, '20-JUL-11', 534, 128.14, 83565);
INSERT INTO LGINVOICE VALUES (1736, '20-JUL-11', 755, 178.84, 84219);
INSERT INTO LGINVOICE VALUES (1737, '20-JUL-11', 756, 16.98, 83509);
INSERT INTO LGINVOICE VALUES (1739, '21-JUL-11', 758, 59.97, 84364);
INSERT INTO LGINVOICE VALUES (104, '30-JAN-11', 88, 43.56, 83734);
INSERT INTO LGINVOICE VALUES (106, '30-JAN-11', 90, 165.19, 84134);
INSERT INTO LGINVOICE VALUES (107, '30-JAN-11', 91, 34.88, 83649);
INSERT INTO LGINVOICE VALUES (108, '30-JAN-11', 92, 496.38, 84134);
INSERT INTO LGINVOICE VALUES (109, '30-JAN-11', 93, 196.28, 83734);
INSERT INTO LGINVOICE VALUES (110, '31-JAN-11', 94, 327.66, 83792);
INSERT INTO LGINVOICE VALUES (112, '31-JAN-11', 96, 507.43, 83820);
INSERT INTO LGINVOICE VALUES (113, '31-JAN-11', 97, 449.24, 84334);
INSERT INTO LGINVOICE VALUES (114, '31-JAN-11', 98, 278.93, 84420);
INSERT INTO LGINVOICE VALUES (115, '31-JAN-11', 99, 163.95, 83878);
INSERT INTO LGINVOICE VALUES (117, '31-JAN-11', 101, 24.99, 84191);
INSERT INTO LGINVOICE VALUES (118, '31-JAN-11', 102, 372.46, 83820);
INSERT INTO LGINVOICE VALUES (119, '01-FEB-11', 103, 243.8, 83677);
INSERT INTO LGINVOICE VALUES (120, '01-FEB-11', 104, 47.07, 83649);
INSERT INTO LGINVOICE VALUES (121, '01-FEB-11', 105, 154.71, 83593);
INSERT INTO LGINVOICE VALUES (123, '01-FEB-11', 107, 321.2, 84248);
INSERT INTO LGINVOICE VALUES (124, '01-FEB-11', 108, 81.94, 84364);
INSERT INTO LGINVOICE VALUES (125, '01-FEB-11', 109, 197.98, 83734);
INSERT INTO LGINVOICE VALUES (126, '01-FEB-11', 110, 58.15, 83509);
INSERT INTO LGINVOICE VALUES (127, '02-FEB-11', 111, 175.9, 83878);
INSERT INTO LGINVOICE VALUES (129, '02-FEB-11', 113, 180.49, 83936);
INSERT INTO LGINVOICE VALUES (130, '02-FEB-11', 114, 37.77, 83964);
INSERT INTO LGINVOICE VALUES (131, '02-FEB-11', 115, 217.6, 83734);
INSERT INTO LGINVOICE VALUES (132, '02-FEB-11', 116, 263.87, 83621);
INSERT INTO LGINVOICE VALUES (133, '02-FEB-11', 117, 408.62, 84248);
INSERT INTO LGINVOICE VALUES (135, '02-FEB-11', 119, 227.44, 83677);
INSERT INTO LGINVOICE VALUES (136, '03-FEB-11', 120, 95.01, 84392);
INSERT INTO LGINVOICE VALUES (137, '03-FEB-11', 121, 22.98, 83649);
INSERT INTO LGINVOICE VALUES (138, '03-FEB-11', 122, 321.8, 83677);
INSERT INTO LGINVOICE VALUES (139, '03-FEB-11', 123, 67.74, 84392);
INSERT INTO LGINVOICE VALUES (141, '03-FEB-11', 125, 72.95, 84392);
INSERT INTO LGINVOICE VALUES (142, '03-FEB-11', 126, 379.79, 83593);
INSERT INTO LGINVOICE VALUES (143, '03-FEB-11', 127, 240.65, 84306);
INSERT INTO LGINVOICE VALUES (144, '04-FEB-11', 128, 154.92, 83906);
INSERT INTO LGINVOICE VALUES (146, '04-FEB-11', 130, 42.55, 83993);
INSERT INTO LGINVOICE VALUES (147, '04-FEB-11', 131, 265.22, 84276);
INSERT INTO LGINVOICE VALUES (148, '04-FEB-11', 132, 547.32, 83850);
INSERT INTO LGINVOICE VALUES (149, '04-FEB-11', 133, 225.4, 84306);
INSERT INTO LGINVOICE VALUES (150, '04-FEB-11', 134, 509.46, 84364);
INSERT INTO LGINVOICE VALUES (152, '05-FEB-11', 136, 89.95, 83878);
INSERT INTO LGINVOICE VALUES (153, '05-FEB-11', 137, 157.73, 83850);
INSERT INTO LGINVOICE VALUES (154, '05-FEB-11', 138, 216.51, 83936);
INSERT INTO LGINVOICE VALUES (155, '05-FEB-11', 139, 23.98, 83993);
INSERT INTO LGINVOICE VALUES (156, '05-FEB-11', 98, 192.11, 84219);
INSERT INTO LGINVOICE VALUES (158, '05-FEB-11', 140, 258.37, 84134);
INSERT INTO LGINVOICE VALUES (159, '05-FEB-11', 135, 66.12, 83621);
INSERT INTO LGINVOICE VALUES (160, '05-FEB-11', 141, 6.59, 84191);
INSERT INTO LGINVOICE VALUES (161, '06-FEB-11', 142, 104.12, 83677);
INSERT INTO LGINVOICE VALUES (163, '06-FEB-11', 101, 317.94, 84248);
INSERT INTO LGINVOICE VALUES (164, '06-FEB-11', 112, 147.81, 83565);
INSERT INTO LGINVOICE VALUES (165, '06-FEB-11', 122, 431.55, 83565);
INSERT INTO LGINVOICE VALUES (166, '06-FEB-11', 118, 516.02, 84191);
INSERT INTO LGINVOICE VALUES (167, '06-FEB-11', 131, 107.95, 83763);
INSERT INTO LGINVOICE VALUES (169, '06-FEB-11', 143, 237.06, 83677);
INSERT INTO LGINVOICE VALUES (170, '07-FEB-11', 137, 409.84, 83850);
INSERT INTO LGINVOICE VALUES (171, '07-FEB-11', 144, 12.99, 84248);
INSERT INTO LGINVOICE VALUES (172, '07-FEB-11', 145, 85.81, 84163);
INSERT INTO LGINVOICE VALUES (173, '07-FEB-11', 107, 373.76, 83906);
INSERT INTO LGINVOICE VALUES (175, '07-FEB-11', 146, 105.94, 84049);
INSERT INTO LGINVOICE VALUES (176, '07-FEB-11', 105, 205.27, 84078);
INSERT INTO LGINVOICE VALUES (177, '07-FEB-11', 93, 109.95, 84392);
INSERT INTO LGINVOICE VALUES (178, '07-FEB-11', 147, 349.87, 84106);
INSERT INTO LGINVOICE VALUES (179, '07-FEB-11', 105, 327.84, 83792);
INSERT INTO LGINVOICE VALUES (181, '08-FEB-11', 148, 43.98, 84364);
INSERT INTO LGINVOICE VALUES (182, '08-FEB-11', 143, 349.36, 84078);
INSERT INTO LGINVOICE VALUES (183, '08-FEB-11', 107, 217.13, 83763);
INSERT INTO LGINVOICE VALUES (184, '08-FEB-11', 123, 184.08, 84276);
INSERT INTO LGINVOICE VALUES (185, '08-FEB-11', 121, 125.27, 84392);
INSERT INTO LGINVOICE VALUES (187, '08-FEB-11', 150, 63.98, 84334);
INSERT INTO LGINVOICE VALUES (188, '08-FEB-11', 137, 58.96, 83792);
INSERT INTO LGINVOICE VALUES (189, '08-FEB-11', 151, 312.09, 83906);
INSERT INTO LGINVOICE VALUES (190, '08-FEB-11', 87, 269.36, 83792);
INSERT INTO LGINVOICE VALUES (193, '09-FEB-11', 152, 141.93, 84049);
INSERT INTO LGINVOICE VALUES (194, '09-FEB-11', 104, 117.46, 84191);
INSERT INTO LGINVOICE VALUES (196, '09-FEB-11', 143, 82.93, 83537);
INSERT INTO LGINVOICE VALUES (197, '09-FEB-11', 86, 19.77, 84276);
INSERT INTO LGINVOICE VALUES (198, '09-FEB-11', 134, 63.96, 83649);
INSERT INTO LGINVOICE VALUES (201, '09-FEB-11', 110, 131.96, 84334);
INSERT INTO LGINVOICE VALUES (203, '10-FEB-11', 152, 72.95, 83593);
INSERT INTO LGINVOICE VALUES (204, '10-FEB-11', 98, 199.65, 83792);
INSERT INTO LGINVOICE VALUES (206, '10-FEB-11', 95, 175.96, 84219);
INSERT INTO LGINVOICE VALUES (207, '10-FEB-11', 156, 56.97, 83537);
INSERT INTO LGINVOICE VALUES (210, '10-FEB-11', 158, 48.36, 84276);
INSERT INTO LGINVOICE VALUES (212, '10-FEB-11', 96, 100.54, 83906);
INSERT INTO LGINVOICE VALUES (213, '11-FEB-11', 160, 61.77, 83792);
INSERT INTO LGINVOICE VALUES (215, '11-FEB-11', 148, 29.99, 84049);
INSERT INTO LGINVOICE VALUES (216, '11-FEB-11', 161, 109.72, 83649);
INSERT INTO LGINVOICE VALUES (219, '11-FEB-11', 129, 115.72, 83820);
INSERT INTO LGINVOICE VALUES (221, '11-FEB-11', 158, 216.89, 83565);
INSERT INTO LGINVOICE VALUES (222, '11-FEB-11', 117, 237.41, 84420);
INSERT INTO LGINVOICE VALUES (224, '12-FEB-11', 164, 270.77, 84219);
INSERT INTO LGINVOICE VALUES (225, '12-FEB-11', 103, 177.14, 83621);
INSERT INTO LGINVOICE VALUES (228, '12-FEB-11', 142, 134.96, 83763);
INSERT INTO LGINVOICE VALUES (230, '12-FEB-11', 139, 311.75, 83565);
INSERT INTO LGINVOICE VALUES (231, '12-FEB-11', 165, 54.96, 83820);
INSERT INTO LGINVOICE VALUES (233, '13-FEB-11', 155, 68.98, 83792);
INSERT INTO LGINVOICE VALUES (234, '13-FEB-11', 166, 193.1, 83850);
INSERT INTO LGINVOICE VALUES (237, '13-FEB-11', 157, 245.25, 83878);
INSERT INTO LGINVOICE VALUES (239, '13-FEB-11', 128, 259.11, 83677);
INSERT INTO LGINVOICE VALUES (240, '13-FEB-11', 168, 257.9, 83593);
INSERT INTO LGINVOICE VALUES (242, '14-FEB-11', 135, 495.05, 84248);
INSERT INTO LGINVOICE VALUES (243, '14-FEB-11', 99, 126.41, 84163);
INSERT INTO LGINVOICE VALUES (246, '14-FEB-11', 169, 512.57, 83763);
INSERT INTO LGINVOICE VALUES (248, '15-FEB-11', 171, 47.18, 84191);
INSERT INTO LGINVOICE VALUES (249, '15-FEB-11', 106, 241.14, 83936);
INSERT INTO LGINVOICE VALUES (250, '15-FEB-11', 164, 40.77, 83734);
INSERT INTO LGINVOICE VALUES (252, '15-FEB-11', 172, 223.42, 84334);
INSERT INTO LGINVOICE VALUES (255, '15-FEB-11', 174, 101.33, 83936);
INSERT INTO LGINVOICE VALUES (256, '15-FEB-11', 100, 139.96, 83565);
INSERT INTO LGINVOICE VALUES (258, '16-FEB-11', 175, 49.16, 84248);
INSERT INTO LGINVOICE VALUES (259, '16-FEB-11', 142, 425.47, 84049);
INSERT INTO LGINVOICE VALUES (262, '16-FEB-11', 176, 99.95, 83820);
INSERT INTO LGINVOICE VALUES (264, '16-FEB-11', 163, 224.89, 83906);
INSERT INTO LGINVOICE VALUES (265, '16-FEB-11', 178, 392.27, 83705);
INSERT INTO LGINVOICE VALUES (267, '17-FEB-11', 154, 292.05, 83850);
INSERT INTO LGINVOICE VALUES (268, '17-FEB-11', 180, 388.12, 84163);
INSERT INTO LGINVOICE VALUES (271, '17-FEB-11', 183, 157.34, 83705);
INSERT INTO LGINVOICE VALUES (273, '17-FEB-11', 184, 198.87, 83964);
INSERT INTO LGINVOICE VALUES (275, '17-FEB-11', 185, 146.43, 83763);
INSERT INTO LGINVOICE VALUES (276, '17-FEB-11', 141, 216.91, 84219);
INSERT INTO LGINVOICE VALUES (277, '17-FEB-11', 92, 265.48, 83763);
INSERT INTO LGINVOICE VALUES (278, '17-FEB-11', 103, 73.55, 84306);
INSERT INTO LGINVOICE VALUES (280, '18-FEB-11', 186, 234.48, 84049);
INSERT INTO LGINVOICE VALUES (281, '18-FEB-11', 120, 463.53, 84392);
INSERT INTO LGINVOICE VALUES (282, '18-FEB-11', 140, 340.8, 83763);
INSERT INTO LGINVOICE VALUES (283, '18-FEB-11', 170, 151.18, 83677);
INSERT INTO LGINVOICE VALUES (284, '18-FEB-11', 118, 326.44, 83850);
INSERT INTO LGINVOICE VALUES (286, '18-FEB-11', 187, 16.45, 84248);
INSERT INTO LGINVOICE VALUES (287, '18-FEB-11', 185, 220.07, 84364);
INSERT INTO LGINVOICE VALUES (288, '19-FEB-11', 188, 71.93, 84134);
INSERT INTO LGINVOICE VALUES (289, '19-FEB-11', 120, 232.41, 83705);
INSERT INTO LGINVOICE VALUES (290, '19-FEB-11', 92, 103.42, 83537);
INSERT INTO LGINVOICE VALUES (292, '19-FEB-11', 97, 92.08, 83734);
INSERT INTO LGINVOICE VALUES (293, '19-FEB-11', 189, 249.18, 84134);
INSERT INTO LGINVOICE VALUES (294, '19-FEB-11', 148, 147.96, 83878);
INSERT INTO LGINVOICE VALUES (295, '19-FEB-11', 190, 14.59, 83993);
INSERT INTO LGINVOICE VALUES (296, '19-FEB-11', 191, 260.29, 84276);
INSERT INTO LGINVOICE VALUES (298, '20-FEB-11', 192, 212.49, 83593);
INSERT INTO LGINVOICE VALUES (299, '20-FEB-11', 193, 164.03, 83936);
INSERT INTO LGINVOICE VALUES (300, '20-FEB-11', 194, 111.86, 83936);
INSERT INTO LGINVOICE VALUES (301, '20-FEB-11', 102, 366.53, 83565);
INSERT INTO LGINVOICE VALUES (302, '20-FEB-11', 178, 425.6, 84163);
INSERT INTO LGINVOICE VALUES (304, '20-FEB-11', 196, 43.18, 84392);
INSERT INTO LGINVOICE VALUES (305, '20-FEB-11', 134, 160.72, 83820);
INSERT INTO LGINVOICE VALUES (306, '20-FEB-11', 88, 414.19, 84276);
INSERT INTO LGINVOICE VALUES (307, '20-FEB-11', 128, 75.65, 84134);
INSERT INTO LGINVOICE VALUES (308, '20-FEB-11', 193, 386.61, 83906);
INSERT INTO LGINVOICE VALUES (310, '21-FEB-11', 111, 106.75, 83509);
INSERT INTO LGINVOICE VALUES (311, '21-FEB-11', 192, 87.96, 84106);
INSERT INTO LGINVOICE VALUES (312, '21-FEB-11', 197, 129.92, 83820);
INSERT INTO LGINVOICE VALUES (313, '21-FEB-11', 89, 214.05, 83621);
INSERT INTO LGINVOICE VALUES (315, '21-FEB-11', 94, 196.84, 84049);
INSERT INTO LGINVOICE VALUES (316, '21-FEB-11', 113, 299.17, 84248);
INSERT INTO LGINVOICE VALUES (317, '22-FEB-11', 198, 35.98, 83649);
INSERT INTO LGINVOICE VALUES (318, '22-FEB-11', 125, 224.88, 83649);
INSERT INTO LGINVOICE VALUES (319, '22-FEB-11', 173, 256.17, 83621);
INSERT INTO LGINVOICE VALUES (321, '22-FEB-11', 199, 53.97, 83820);
INSERT INTO LGINVOICE VALUES (322, '22-FEB-11', 179, 136.71, 83993);
INSERT INTO LGINVOICE VALUES (323, '22-FEB-11', 98, 35.49, 84392);
INSERT INTO LGINVOICE VALUES (324, '22-FEB-11', 199, 234.05, 83878);
INSERT INTO LGINVOICE VALUES (325, '22-FEB-11', 198, 83.46, 83649);
INSERT INTO LGINVOICE VALUES (327, '22-FEB-11', 168, 176.07, 84106);
INSERT INTO LGINVOICE VALUES (328, '23-FEB-11', 148, 33.96, 84078);
INSERT INTO LGINVOICE VALUES (329, '23-FEB-11', 136, 241.51, 83677);
INSERT INTO LGINVOICE VALUES (330, '23-FEB-11', 197, 134.78, 84219);
INSERT INTO LGINVOICE VALUES (331, '23-FEB-11', 194, 149.91, 83705);
INSERT INTO LGINVOICE VALUES (333, '23-FEB-11', 200, 340.2, 84078);
INSERT INTO LGINVOICE VALUES (334, '23-FEB-11', 105, 174.23, 83593);
INSERT INTO LGINVOICE VALUES (335, '23-FEB-11', 118, 171.58, 84021);
INSERT INTO LGINVOICE VALUES (336, '23-FEB-11', 97, 374.28, 83792);
INSERT INTO LGINVOICE VALUES (337, '24-FEB-11', 201, 206.08, 83621);
INSERT INTO LGINVOICE VALUES (339, '24-FEB-11', 175, 270.85, 84248);
INSERT INTO LGINVOICE VALUES (340, '24-FEB-11', 203, 59.95, 84163);
INSERT INTO LGINVOICE VALUES (341, '24-FEB-11', 197, 333.74, 84248);
INSERT INTO LGINVOICE VALUES (342, '24-FEB-11', 204, 97.9, 84049);
INSERT INTO LGINVOICE VALUES (343, '24-FEB-11', 205, 75.35, 83565);
INSERT INTO LGINVOICE VALUES (345, '25-FEB-11', 206, 105.94, 84248);
INSERT INTO LGINVOICE VALUES (346, '25-FEB-11', 207, 208.31, 84163);
INSERT INTO LGINVOICE VALUES (347, '25-FEB-11', 208, 37.18, 83565);
INSERT INTO LGINVOICE VALUES (348, '25-FEB-11', 132, 88.95, 84248);
INSERT INTO LGINVOICE VALUES (349, '25-FEB-11', 91, 264.05, 83993);
INSERT INTO LGINVOICE VALUES (351, '25-FEB-11', 184, 145.91, 83763);
INSERT INTO LGINVOICE VALUES (352, '25-FEB-11', 152, 284.38, 83936);
INSERT INTO LGINVOICE VALUES (353, '25-FEB-11', 168, 309.86, 84078);
INSERT INTO LGINVOICE VALUES (354, '25-FEB-11', 186, 255.4, 83936);
INSERT INTO LGINVOICE VALUES (355, '25-FEB-11', 210, 194.72, 84306);
INSERT INTO LGINVOICE VALUES (357, '25-FEB-11', 192, 327.42, 83936);
INSERT INTO LGINVOICE VALUES (358, '25-FEB-11', 136, 625.7, 83705);
INSERT INTO LGINVOICE VALUES (360, '26-FEB-11', 130, 90.24, 83993);
INSERT INTO LGINVOICE VALUES (361, '26-FEB-11', 212, 183.83, 84049);
INSERT INTO LGINVOICE VALUES (363, '26-FEB-11', 155, 263.85, 84219);
